Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Action,0.19938287083472037,0.21459159331040953,0.12317227601287346,0.23486985715564318
Adventure,0.023633400200601198,0.026596255802003036,0.04079786690158196,0.021318151065271046
Misc,0.09164762806939092,0.08696215276762385,0.08194181171788698,0.09272757445397009
Platform,0.10340744455588706,0.08382040216078972,0.1026671595655194,0.06567777678492197
Sports,0.15492310264125275,0.15498606683740201,0.10599422679115456,0.16894953853225447
Simulation,0.042124057357255856,0.04720563843965321,0.049976797048901414,0.03998110726732294
Racing,0.08235354210780262,0.09818806218326678,0.04429797308457863,0.0976677687427482
Role-Playing,0.07400906422972421,0.07649243598474298,0.2697284074910245,0.07241788682232522
Puzzle,0.02822820312790152,0.021085658660494708,0.044235049827356196,0.015880107739639014
Strategy,0.015748634793268282,0.01872516784551959,0.038619149120255845,0.014335499189400809
Fighting,0.051160425721607956,0.04173681989664001,0.0685391579295132,0.046146776108356345
Shooter,0.13338162636055953,0.12960974611145748,0.030030124509396527,0.1300279561382349
